miasto,lat,lon,kraj,iso,region,kontynent
Tangier,35.7767,-5.8039,Morocco,MAR,Tanger-Tétouan-Al Hoceïma,Africa
Kibanseke Premiere,-4.4419,15.395,Congo (Kinshasa),COD,Kinshasa,Africa
Khartoum North,15.6333,32.6333,Sudan,SDN,Khartoum,Africa
Mushin,6.5333,3.35,Nigeria,NGA,Lagos,Africa
Owerri,5.485,7.035,Nigeria,NGA,Imo,Africa
Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,BFA,Hauts-Bassins,Africa
Ashmun,30.2941,31.0342,Egypt,EGY,Al Minūfīyah,Africa
Bunia,1.5667,30.25,Congo (Kinshasa),COD,Ituri,Africa
Bangui,4.3733,18.5628,Central African Republic,CAF,Bangui,Africa
Abeokuta,7.1608,3.3483,Nigeria,NGA,Ogun,Africa
Ikeja,6.6,3.35,Nigeria,NGA,Lagos,Africa
Sale,34.0333,-6.8,Morocco,MAR,Rabat-Salé-Kénitra,Africa
Akure,7.25,5.195,Nigeria,NGA,Ondo,Africa
Ilorin,8.5,4.55,Nigeria,NGA,Kwara,Africa
Pietermaritzburg,-29.6167,30.3833,South Africa,ZAF,KwaZulu-Natal,Africa
Durban,-29.8833,31.05,South Africa,ZAF,KwaZulu-Natal,Africa
Androtsy,-24.1,46.3,Madagascar,MDG,Toliara,Africa
Libreville,0.3903,9.4542,Gabon,GAB,Estuaire,Africa
Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),COG,Pointe-Noire,Africa
Lubango,-14.9167,13.5,Angola,AGO,Huíla,Africa
Kaduna,10.5167,7.4333,Nigeria,NGA,Kaduna,Africa
Baardheere,2.3333,42.2833,Somalia,SOM,Gedo,Africa
Gaalkacyo,6.7697,47.4308,Somalia,SOM,Mudug,Africa
Nampula,-15.1167,39.2667,Mozambique,MOZ,Nampula,Africa
Pretoria,-25.7461,28.1881,South Africa,ZAF,Gauteng,Africa
Cabinda,-5.56,12.19,Angola,AGO,Cabinda,Africa
Tshikapa,-6.4167,20.8,Congo (Kinshasa),COD,Kasaï,Africa
Osogbo,7.7667,4.5667,Nigeria,NGA,Osun,Africa
Marka,1.7133,44.7656,Somalia,SOM,Shabeellaha Hoose,Africa
Enugu,6.4528,7.5111,Nigeria,NGA,Enugu,Africa
Boosaaso,11.2886,49.1819,Somalia,SOM,Bari,Africa
Bauchi,10.3158,9.8442,Nigeria,NGA,Bauchi,Africa
Sinnuris,29.4072,30.8667,Egypt,EGY,Al Fayyūm,Africa
Cocody,5.35,-3.9667,Côte d’Ivoire,CIV,Abidjan,Africa
Lokoja,7.8019,6.7442,Nigeria,NGA,Kogi,Africa
Agege,6.6219,3.3258,Nigeria,NGA,Lagos,Africa
Cotonou,6.3667,2.4333,Benin,BEN,Littoral,Africa
Bulawayo,-20.17,28.58,Zimbabwe,ZWE,Bulawayo,Africa
Huambo,-12.7767,15.7347,Angola,AGO,Huambo,Africa
Jalingo,8.9,11.3667,Nigeria,NGA,Taraba,Africa
Bouake,7.6833,-5.0167,Côte d’Ivoire,CIV,Vallée du Bandama,Africa
Abomey-Calavi,6.4486,2.3556,Benin,BEN,Atlantique,Africa
Dayrut,27.5667,30.8167,Egypt,EGY,Asyūţ,Africa
Erer Sata,9.5667,41.3833,Ethiopia,ETH,Sumalē,Africa
Las Palmas,28.1258,-15.4353,Spain,ESP,Canary Islands,Africa
Benghazi,32.1167,20.0667,Libya,LBY,Banghāzī,Africa
Tukh,30.3539,31.2007,Egypt,EGY,Al Qalyūbīyah,Africa
Jos,9.9167,8.8903,Nigeria,NGA,Plateau,Africa
Al Mansurah,31.05,31.3833,Egypt,EGY,Ad Daqahlīyah,Africa
